Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
218,-100.01,-114.62885163509095,1,4.66,0,0.0,,,,,,,,,
219,-99.80503279291538,-114.48181964754504,3,4.64,0,0.0,,,,,,,,,
220,-99.80378247373858,-114.47975747228242,3,4.66,0,0.0,,,,,,,,,
221,-99.5141778180693,-114.47570543903633,5,4.69,0,0.0,,,,,,,,,
222,-97.40633319056165,-114.30319787980774,8,4.73,0,0.0,,,,,,,,,
223,-99.80359601034098,-114.30314844344885,3,4.73,0,0.0,,,,,,,,,
224,-98.21368356582369,-114.33052588755449,7,4.73,0,0.0,,,,,,,,,
225,-91.06422654007847,-114.24445217083777,14,4.83,0,0.0,,,,,,,,,
226,-87.6513013286608,-113.97468360867569,12,4.92,0,0.0,,,,,,,,,
227,-99.13128154896863,-113.96589642416538,5,4.96,0,0.0,,,,,,,,,
228,-157.4641119765905,-114.54133070372744,8,5.02,0,0.0,,,,,,,,,
229,-143.20868207178577,-114.97421469987941,7,5.07,0,0.0,,,,,,,,,
230,-100.01,-114.82801775264326,1,5.05,0,0.0,,,,,,,,,
231,-92.13410729468004,-114.74925882559006,13,5.17,0,0.0,,,,,,,,,
232,-128.80525165005645,-115.04062627837456,3,5.16,0,0.0,,,,,,,,,
233,-99.80584516990365,-115.03949075579172,3,5.17,0,0.0,,,,,,,,,
234,-99.50401213567976,-114.88709084071033,5,5.2,0,0.0,,,,,,,,,
235,-100.01,-114.45543635608635,1,5.14,0,0.0,,,,,,,,,
236,-90.41811919960863,-114.37784528757368,10,5.18,0,0.0,,,,,,,,,
237,-183.289641119446,-115.21064169876813,11,5.28,0,0.0,,,,,,,,,
238,-99.91978265685627,-115.2097395253367,2,5.29,0,0.0,,,,,,,,,
239,-100.01,-115.22388743862957,1,5.26,0,0.0,,,,,,,,,
240,-99.92021430624212,-114.79727561556896,2,5.24,0,0.0,,,,,,,,,
241,-99.80855834960148,-114.39266376997733,3,5.2,0,0.0,,,,,,,,,
242,-100.01,-114.39266376997733,1,5.2,0,0.0,,,,,,,,,
243,-251.57267501511802,-115.92297663798061,15,5.29,0,0.0,,,,,,,,,
244,-108.22565386148766,-116.0089569127736,8,5.34,0,0.0,,,,,,,,,
245,-100.01,-115.59137802962518,1,5.27,0,0.0,,,,,,,,,
246,-155.76142596064463,-116.04001399790636,9,5.29,0,0.0,,,,,,,,,
247,-100.01,-116.04090600051995,1,5.28,0,0.0,,,,,,,,,
248,-99.92042092105301,-116.04090556471257,2,5.28,0,0.0,,,,,,,,,
249,-96.1130392632947,-116.0028350457699,6,5.32,0,0.0,,,,,,,,,
250,-99.9202853265494,-116.00284103530139,2,5.32,0,0.0,,,,,,,,,
251,-99.92045512145897,-116.00194558651596,2,5.33,0,0.0,,,,,,,,,
252,-185.6772289697262,-116.57568053419578,10,5.36,0,0.0,,,,,,,,,
253,-186.14382109628474,-117.29082750403866,9,5.42,0,0.0,,,,,,,,,
254,-99.91947602099624,-116.17014339525595,2,5.24,0,0.0,,,,,,,,,
255,-93.63214812389147,-116.10636487649487,19,5.42,0,0.0,,,,,,,,,
256,-100.01,-115.05509162085292,1,5.34,0,0.0,,,,,,,,,
257,-99.85652777836466,-115.05355689863659,3,5.36,0,0.0,,,,,,,,,
258,-142.19400317817963,-115.47539693041837,6,5.41,0,0.0,,,,,,,,,
259,-87.93110563201158,-115.35614716410515,12,5.5,0,0.0,,,,,,,,,
260,-96.10831705912851,-115.02820254847207,19,5.63,0,0.0,,,,,,,,,
261,-91.96007997868341,-112.26368194322438,11,5.43,0,0.0,,,,,,,,,
262,-99.00518809648217,-112.2545392378894,9,5.5,0,0.0,,,,,,,,,
263,-100.01,-112.28163677824102,1,5.45,0,0.0,,,,,,,,,
264,-98.19721110110916,-112.26439878752416,7,5.5,0,0.0,,,,,,,,,
265,-99.8040622106907,-112.26233940963105,3,5.52,0,0.0,,,,,,,,,
