Episodio,Recompensa_Episodio,Recompensa_Promedio_Movil,Pasos_Episodio,Pasos_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
106,-142.86441177590459,-106.22788674856953,4,2.76,0,0.0,,0.0,0.0,,,0.0,,,
107,-100.01,-106.24624796632047,1,2.71,0,0.0,,0.0,0.0,,,0.0,,,
108,-99.92009115756241,-106.24625490361421,2,2.71,0,0.0,,0.0,0.0,,,0.0,,,
109,-99.80665212235992,-106.24513086446296,3,2.72,0,0.0,,0.0,0.0,,,0.0,,,
110,-99.85221151061475,-106.2455798781078,3,2.72,0,0.0,,0.0,0.0,,,0.0,,,
111,-99.66505393198157,-106.24213041742757,4,2.75,0,0.0,,0.0,0.0,,,0.0,,,
112,-156.67385652591702,-106.6692149247823,5,2.74,0,0.0,,0.0,0.0,,,0.0,,,
113,-99.80424885908324,-106.66715741337313,3,2.76,0,0.0,,0.0,0.0,,,0.0,,,
114,-100.01,-106.66715741337315,1,2.76,0,0.0,,0.0,0.0,,,0.0,,,
115,-100.01,-106.66715741337315,1,2.76,0,0.0,,0.0,0.0,,,0.0,,,
116,-100.01,-106.66918382461232,1,2.74,0,0.0,,0.0,0.0,,,0.0,,,
117,-99.80495381705289,-106.09800797845708,3,2.72,0,0.0,,0.0,0.0,,,0.0,,,
118,-100.01,-106.09890515389121,1,2.71,0,0.0,,0.0,0.0,,,0.0,,,
119,-100.01,-106.09980609405555,1,2.7,0,0.0,,0.0,0.0,,,0.0,,,
120,-100.01,-105.95127012761273,1,2.67,0,0.0,,0.0,0.0,,,0.0,,,
121,-114.63024339498264,-106.0983735017269,3,2.68,0,0.0,,0.0,0.0,,,0.0,,,
122,-99.80535244546981,-106.09723100799928,3,2.69,0,0.0,,0.0,0.0,,,0.0,,,
123,-100.01,-106.09723100799928,1,2.69,0,0.0,,0.0,0.0,,,0.0,,,
124,-100.01,-105.82653276456891,1,2.66,0,0.0,,0.0,0.0,,,0.0,,,
125,-290.3018248667195,-107.7294510132361,15,2.8,0,0.0,,-8.461220810810725e-05,4746.286376953125,,,1.0373289585113525,,,
126,-100.01,-107.76032562891037,1,2.76,0,0.0,,0.0,0.0,,,0.0,,,
127,-99.91819443511108,-107.19975710882105,2,2.73,0,0.0,,0.0,0.0,,,0.0,,,
128,-100.01,-107.19975710882105,1,2.73,0,0.0,,0.0,0.0,,,0.0,,,
129,-142.0670092160289,-107.48717416119412,4,2.72,0,0.0,,0.0,0.0,,,0.0,,,
130,-100.01,-107.49219512831897,1,2.68,0,0.0,,0.0,0.0,,,0.0,,,
131,-100.01,-107.49309048330105,1,2.67,0,0.0,,0.0,0.0,,,0.0,,,
132,-77.23924883447275,-107.26628480155284,14,2.79,0,0.0,,0.0,0.0,,,0.0,,,
133,-100.01,-107.26628480155287,1,2.79,0,0.0,,0.0,0.0,,,0.0,,,
134,-99.80840809343049,-107.26426888248717,3,2.81,0,0.0,,0.0,0.0,,,0.0,,,
135,-99.92102696530075,-107.11553308047995,2,2.81,0,0.0,,0.0,0.0,,,0.0,,,
136,-114.71327384424615,-107.26256581892243,4,2.84,0,0.0,,0.0,0.0,,,0.0,,,
137,-100.01,-106.26811486945441,1,2.74,0,0.0,,0.0,0.0,,,0.0,,,
138,-99.50086890257924,-106.26302355848019,5,2.78,0,0.0,,0.0,0.0,,,0.0,,,
139,-99.80454336797946,-106.26186478294947,3,2.79,0,0.0,,0.0,0.0,,,0.0,,,
140,-141.86963763942583,-106.69708952327423,7,2.81,0,0.0,,,,,,,,,
141,-100.01,-105.93194732669807,1,2.75,0,0.0,,,,,,,,,
142,-99.80822945456367,-105.64055658913522,3,2.72,0,0.0,,-0.007923406238357225,5257.581271701389,,,1.0372688240475125,,,
143,-100.01,-105.64257429458958,1,2.7,0,0.0,,0.0,0.0,,,0.0,,,
144,-97.85976506335379,-105.62107194522312,4,2.73,0,0.0,,0.0,0.0,,,0.0,,,
145,-100.01,-105.62448905333426,1,2.7,0,0.0,,0.0,0.0,,,0.0,,,
