Episodio,Recompensa_Episodio,Pasos_Episodio,Pasos_Totales,Recompensa_Promedio_Movil,Metas_Alcanzadas_Episodio,Metas_Alcanzadas_Promedio_Movil,loss,policy_loss,value_loss,actor_loss,critic_loss,entropy_loss,alpha_loss,alpha,epsilon
252,-10843.85117840194,1100,11348,-193.60777610346997,1,0.66,,,,,,,,,
253,73.8421694441867,23,11371,-194.00742922760722,0,0.66,,,,,,,,,
254,361.27850831896825,26,11397,-193.9353988945162,3,0.67,,,,,,,,,
255,-222.57308686230286,10,11407,-199.45825315579893,0,0.64,,,,,,,,,
256,78.28434591082497,26,11433,-198.95612044286017,0,0.63,,,,,,,,,
257,-81.918302034866,10,11443,-201.25191803017154,0,0.62,,,,,,,,,
258,33.12467482617437,20,11463,-205.2157910749721,0,0.59,,,,,,,,,
259,-65.49077733464216,17,11480,-153.42082817589792,1,0.59,,,,,,,,,
260,414.31455553294404,41,11521,-152.67566208102332,2,0.6,,,,,,,,,
261,-109.35582041651662,26,11547,-147.1608455582383,0,0.6,,,,,,,,,
262,-874.3164923800457,76,11623,-160.80235386058698,0,0.59,,,,,,,,,
263,238.7796103460497,38,11661,-159.4874666302019,1,0.6,,,,,,,,,
264,-182.20689080949938,28,11689,-165.70456011923147,0,0.58,,,,,,,,,
265,-100.01,1,11690,-159.85305566957416,0,0.58,,,,,,,,,
266,283.4957617565471,32,11722,-160.95734409751358,1,0.57,,,,,,,,,
267,-222.23922661985242,11,11733,-168.4605346476778,0,0.56,,,,,,,,,
268,426.50291600959724,38,11771,-166.60498679594582,1,0.57,,,,,,,,,
269,-100.01,1,11772,-168.60142229083365,0,0.57,,,,,,,,,
270,-25.85485268698443,27,11799,-170.13516384659658,0,0.56,,,,,,,,,
271,669.6566166285094,43,11842,-158.5073608692079,1,0.55,,,,,,,,,
272,-3.977687086684938,24,11866,-159.53696200788355,0,0.55,,,,,,,,,
273,-581.6298796666806,72,11938,-164.73040958629784,0,0.54,,,,,,,,,
274,24.34920872721797,59,11997,-164.28323934348722,0,0.53,,,,,,,,,
275,-242.23877576632543,20,12017,-155.7051753671043,0,0.53,,,,,,,,,
276,-178.10114059130203,25,12042,-154.96320990215042,0,0.53,,,,,,,,,
277,234.20196169153587,23,12065,-152.46717552410107,1,0.54,,,,,,,,,
278,-114.79484594938032,2,12067,-156.02565943707867,0,0.53,,,,,,,,,
279,-207.140719022788,18,12085,-155.73387989406584,0,0.53,,,,,,,,,
280,-830.6872039073183,82,12167,-166.64048234526342,0,0.52,,,,,,,,,
281,-69.01036402068539,40,12207,-161.83517390167907,0,0.51,,,,,,,,,
282,-224.1775864733559,12,12219,-161.92279428131317,0,0.5,,,,,,,,,
283,-45.296908891231034,17,12236,-160.24380878862473,0,0.5,,,,,,,,,
284,564.3452895444905,43,12279,-155.18586191486753,2,0.52,,,,,,,,,
285,93.12028073402412,107,12386,-153.92078503737983,2,0.53,,,,,,,,,
286,-100.01,1,12387,-161.35457928287056,0,0.52,,,,,,,,,
287,-334.51704852489445,46,12433,-166.86566185760893,1,0.52,,,,,,,,,
288,76.7088226478429,23,12456,-112.17384015466348,0,0.48,,,,,,,,,
289,49.424374463532885,23,12479,-109.69409137529792,1,0.49,,,,,,,,,
290,-100.01,1,12480,-112.2742854468828,0,0.47,,,,,,,,,
291,242.98270179699074,16,12496,-109.69082478393149,1,0.48,,,,,,,,,
292,-155.7161118133381,7,12503,-109.68957755047737,0,0.48,,,,,,,,,
293,4.261040085174258,19,12522,-109.41630274419371,0,0.48,,,,,,,,,
294,-15.216570056234147,17,12539,-107.0950496588856,0,0.48,,,,,,,,,
295,-823.768175632915,86,12625,-112.97738847310823,1,0.49,,,,,,,,,
